Archive_Date,Group_ID,waiting_0_3,waiting_12_15,waiting_15_18,waiting_18plus,waiting_3_6,waiting_6_9,waiting_9_12,spec_1,spec_10,spec_11,spec_12,spec_13,spec_14,spec_15,spec_16,spec_17,spec_18,spec_19,spec_2,spec_20,spec_21,spec_22,spec_23,spec_24,spec_25,spec_26,spec_27,spec_28,spec_29,spec_3,spec_30,spec_31,spec_32,spec_33,spec_34,spec_35,spec_36,spec_37,spec_38,spec_39,spec_4,spec_40,spec_41,spec_42,spec_43,spec_44,spec_45,spec_46,spec_47,spec_48,spec_49,spec_5,spec_50,spec_51,spec_52,spec_53,spec_54,spec_55,spec_56,spec_57,spec_58,spec_59,spec_6,spec_60,spec_61,spec_62,spec_63,spec_64,spec_65,spec_66,spec_67,spec_68,spec_69,spec_7,spec_70,spec_71,spec_72,spec_73,spec_74,spec_75,spec_76,spec_77,spec_8,spec_9
2014-06,group_7,0.2825,0.0925,0.0495,0.018,0.23,0.193,0.1345,1,0,0,0,80,0,25,46,0,68,33,0,108,249,20,105,19,26,0,0,6,13,36,0,0,22,59,31,0,0,9,86,0,22,150,0,146,7,4,0,0,0,0,0,74,0,0,0,0,0,15,1,0,3,0,0,0,33,60,0,0,107,0,1,0,0,0,66,63,27,0,0,96,83,0,0,0
2014-06,group_8,0.3275,0.08125,0.05,0.0075,0.2425,0.1775,0.11375,0,0,0,4,21,0,0,0,0,21,0,22,58,118,13,72,5,0,0,0,0,35,0,0,0,14,17,0,0,0,2,36,0,0,38,1,85,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,25,0,0,0,0,0,2,55,10,0,0,71,25,0,0,0
2014-07,group_2,0.2809917355371901,0.08884297520661157,0.0640495867768595,0.047520661157024795,0.23140495867768596,0.16942148760330578,0.11776859504132231,0,0,0,17,25,0,4,3,0,0,0,0,10,24,0,3,2,0,0,3,7,0,0,5,3,10,20,1,0,0,0,33,0,6,56,0,40,25,4,14,6,0,6,1,14,0,0,0,0,0,0,0,0,5,4,0,0,17,0,0,0,27,0,0,0,0,5,28,15,10,0,0,27,0,0,4,0
2014-07,group_3,0.2786675208199872,0.08584240871236387,0.04612427930813581,0.03971812940422806,0.23510570147341447,0.17937219730941703,0.13516976297245356,0,17,0,2,54,5,12,35,0,46,0,32,72,179,18,75,41,0,0,5,2,32,0,0,0,22,30,0,0,0,8,51,0,14,143,13,135,13,6,10,0,0,0,0,64,5,0,12,22,0,5,0,0,10,6,9,0,15,17,3,0,35,7,0,2,3,0,22,44,17,0,0,107,72,0,5,7
2014-07,group_4,0.30720203951561503,0.07010834926704908,0.0331421287444232,0.021669853409815167,0.2517527087316762,0.18036966220522627,0.13575525812619502,1,1,0,14,68,0,15,38,1,42,0,8,84,196,27,132,32,0,0,0,2,0,0,4,0,14,26,0,6,0,9,136,0,14,150,4,125,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,30,34,1,0,62,7,1,2,3,0,37,45,24,0,0,76,19,0,5,0
2014-07,group_5,0.28920118343195267,0.08875739644970414,0.03476331360946745,0.013313609467455622,0.24186390532544377,0.1937869822485207,0.13831360946745563,0,0,0,0,76,0,0,33,0,43,0,8,49,156,15,102,24,0,0,0,7,4,7,0,0,22,50,49,0,0,7,46,0,0,111,23,134,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,23,31,2,0,60,5,5,0,0,0,49,26,5,0,3,86,23,0,0,18
2014-07,group_6,0.26068144943212546,0.09789075175770687,0.073012439156300707,0.05570578691184424,0.21579232017306652,0.17036235803136832,0.1265548945375879,0,4,8,0,106,0,0,43,0,15,0,37,130,190,25,120,24,0,0,14,0,49,0,0,0,54,57,0,1,0,11,90,42,10,202,0,169,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,2,68,0,3,2,0,0,26,48,16,0,0,123,38,0,0,0
2014-07,group_7,0.2775647171620326,0.08868648130393098,0.05177372962607862,0.032598274209012464,0.23202301054650049,0.18264621284755514,0.13470757430488975,2,0,0,0,82,0,28,52,0,67,29,0,108,268,18,112,22,25,0,0,4,9,42,0,0,26,60,32,0,0,11,96,0,21,154,0,157,7,5,0,0,0,0,0,76,0,0,0,0,0,16,2,0,3,0,0,0,35,61,0,0,112,0,1,0,0,0,66,65,33,0,0,97,82,0,0,0
2014-07,group_8,0.30833333333333335,0.07738095238095238,0.05238095238095238,0.03333333333333333,0.2369047619047619,0.1630952380952381,0.12857142857142856,0,0,0,1,21,0,0,0,0,21,0,21,60,122,15,70,4,0,0,0,0,37,0,0,0,11,18,0,0,0,2,37,0,0,44,2,100,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,27,0,0,0,0,0,3,56,8,0,0,77,32,0,0,0
2014-08,group_2,0.2673469387755102,0.09183673469387756,0.07142857142857142,0.05102040816326531,0.23673469387755103,0.1653061224489796,0.11632653061224489,0,0,0,17,28,0,2,2,0,0,0,0,11,24,0,3,2,0,0,3,9,0,0,5,5,9,20,2,0,0,0,32,0,4,55,0,42,24,4,13,6,0,6,1,14,0,0,0,0,0,0,0,0,7,3,0,0,17,0,0,0,30,0,1,0,0,4,30,17,10,0,0,25,0,0,3,0
2014-08,group_3,0.27409261576971217,0.0869837296620776,0.052565707133917394,0.044430538172715896,0.22528160200250313,0.18272841051314143,0.13391739674593242,0,17,0,2,58,8,14,35,0,45,0,31,74,176,20,74,41,0,0,6,1,34,0,0,0,25,32,0,0,0,11,51,0,16,152,12,139,12,7,8,0,0,0,0,74,5,0,11,22,0,4,0,0,9,7,9,0,16,20,4,0,37,6,0,2,3,0,26,44,12,0,0,107,66,0,6,7
2014-08,group_4,0.2988505747126437,0.07598978288633461,0.033205619412515965,0.026181353767560665,0.24648786717752236,0.1826309067688378,0.13665389527458494,0,1,0,13,68,0,12,36,2,41,0,7,80,191,26,134,31,0,0,0,2,0,0,5,0,12,25,0,2,0,8,139,0,16,157,2,135,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,28,36,0,0,61,5,1,2,2,0,37,45,24,0,0,75,23,0,5,0
2014-08,group_5,0.275812274368231,0.08953068592057761,0.04259927797833935,0.020938628158844765,0.23032490974729242,0.19711191335740072,0.14368231046931407,0,0,0,0,82,0,0,34,0,46,0,7,50,160,15,104,20,0,0,0,5,5,5,0,0,19,53,50,1,0,7,45,0,0,117,12,145,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,24,33,2,0,63,7,2,0,0,0,52,29,3,0,2,91,26,0,0,18
2014-08,group_6,0.2536842105263158,0.10157894736842105,0.07105263157894737,0.06263157894736843,0.21157894736842106,0.17,0.12947368421052632,0,4,5,0,114,0,0,41,0,18,0,37,133,199,24,119,29,0,0,15,0,53,0,0,0,59,61,0,1,0,11,91,42,11,203,0,169,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,41,31,0,1,69,0,0,2,0,0,26,49,23,0,0,128,37,0,0,0
